Date,Portfolio_Value
2015-02-19,97755.14060422189
2015-02-20,97179.15884734195
2015-02-23,97192.81005053107
2015-02-24,95809.08822527614
2015-02-25,95452.60426401593
2015-02-26,96909.92578336303
2015-02-27,99534.98327480252
2015-03-02,103744.4091229407
2015-03-03,102696.96081727349
2015-03-04,102361.5343807941
2015-03-05,100591.7840831664
2015-03-09,100848.71675451557
2015-03-10,101222.39058876419
2015-03-11,101707.81848496519
2015-03-12,99301.94861892487
2015-03-13,99677.85009883367
2015-03-16,100293.98603220642
2015-03-17,100815.34541099398
2015-03-18,99430.1757118297
2015-03-19,95937.16520786163
2015-03-20,94572.41104727647
2015-03-23,93999.78680884726
2015-03-24,95506.67370556392
2015-03-25,92809.362236176
2015-03-26,90839.69957528752
2015-03-27,90733.37375018763
2015-03-30,92440.06340341893
2015-03-31,94681.48181336405
2015-04-01,94866.57406643288
2015-04-06,94052.14609105312
2015-04-07,93370.6292923537
2015-04-08,95000.385918144
2015-04-09,94318.83686236625
2015-04-10,93903.97857790165
2015-04-13,93340.9957897234
2015-04-15,92600.19048104451
2015-04-16,91889.00792263648
2015-04-17,90702.31923397913
2015-04-20,91146.84875732177
2015-04-21,92064.6670445198
2015-04-22,92101.0304166639
2015-04-23,91037.81680577321
2015-04-24,89280.53671526497
2015-04-27,96531.08534259333
2015-04-28,96233.14782424425
2015-04-29,95320.11133058574
2015-04-30,96010.69779506985
2015-05-04,97415.151807833
2015-05-05,95733.46802583335
2015-05-06,93829.83163168587
2015-05-07,94503.15832763673
2015-05-08,95301.90528643312
2015-05-11,93535.99048581142
2015-05-12,96403.95667465223
2015-05-13,95784.95124415314
2015-05-14,94994.23633528354
2015-05-15,96509.87066650901
2015-05-18,97928.68425975511
2015-05-19,99136.83168706924
2015-05-20,99192.53561414516
2015-05-21,99095.66888420729
2015-05-22,98070.55166968088
2015-05-25,96985.14565590245
2015-05-26,97061.89083658294
2015-05-27,99433.58216923027
2015-05-28,100303.0297493738
2015-05-29,100050.13208414956
2015-06-01,98137.3769995653
2015-06-02,97886.21099583853
2015-06-03,99671.7254600739
2015-06-04,99357.4668350494
2015-06-05,98784.5405372245
2015-06-08,98391.86264779032
2015-06-09,100090.923206661
2015-06-10,98665.99597367719
2015-06-11,97549.76779111807
2015-06-12,99322.20526127297
2015-06-15,99638.3993875819
2015-06-16,99407.49717601344
2015-06-17,100067.2312290852
2015-06-18,100463.10225647154
2015-06-19,103339.67815062401
2015-06-22,103828.1801043038
2015-06-23,105235.75743289458
2015-06-24,107167.78704529373
2015-06-25,106112.46197718501
2015-06-26,106116.53836136362
2015-06-29,104399.70122480475
2015-06-30,106124.77312595434
2015-07-01,105496.51798504718
2015-07-02,106566.69768315693
2015-07-03,106769.98983374183
2015-07-06,106078.67639182691
2015-07-07,105375.56160263177
2015-07-08,102427.58195867992
2015-07-09,100472.45477467736
2015-07-10,101901.78669084542
2015-07-13,101493.70001638038
2015-07-14,102826.04549331575
2015-07-15,104102.27312203447
2015-07-16,103898.90037781525
2015-07-17,104209.06289254093
2015-07-20,115803.45950462783
2015-07-21,114295.69285088035
2015-07-22,113740.75602521804
2015-07-23,109269.63929984334
2015-07-24,108916.31884364769
2015-07-27,109134.47510304047
2015-07-28,109339.45129605377
2015-07-29,109795.03349809175
2015-07-30,109981.65372914223
2015-07-31,110047.51788132303
2015-08-03,110016.82164632116
2015-08-04,111694.08095941413
2015-08-05,112840.80012271139
