Date,Portfolio_Value
2015-02-19,99374.892400042
2015-02-20,98860.8966851169
2015-02-23,98874.79645770922
2015-02-24,97467.14090677185
2015-02-25,96142.8100236407
2015-02-26,97610.66915724293
2015-02-27,100254.68328335683
2015-03-02,100328.77431065605
2015-03-03,98657.17717993895
2015-03-04,98334.93752501662
2015-03-05,96634.811807245
2015-03-09,95468.06133960858
2015-03-10,95112.47783951844
2015-03-11,95984.76861317706
2015-03-12,96075.62728161158
2015-03-13,98076.84681847681
2015-03-16,98683.10517654037
2015-03-17,99196.07821465081
2015-03-18,99238.37910085732
2015-03-19,99587.34461707849
2015-03-20,98818.66630332994
2015-03-23,97894.38163563122
2015-03-24,97545.42239689731
2015-03-25,94970.6168390478
2015-03-26,97006.05286853746
2015-03-27,99133.27591025468
2015-03-30,97775.68314753479
2015-03-31,98784.30880482658
2015-04-01,98660.02586288426
2015-04-06,99641.06017188968
2015-04-07,103595.11574667551
2015-04-08,104275.34592218121
2015-04-09,103527.26851532316
2015-04-10,103752.04304691359
2015-04-13,103130.00624998976
2015-04-15,102311.50989403749
2015-04-16,101525.76669792325
2015-04-17,101869.53825622318
2015-04-20,102368.8434229432
2015-04-21,102134.72558484119
2015-04-22,102175.05296721254
2015-04-23,102390.57654066733
2015-04-24,101971.18759074016
2015-04-27,100794.53710481292
2015-04-28,99650.68088828144
2015-04-29,99214.2099644755
2015-04-30,100433.31126789298
2015-05-04,99098.81457472639
2015-05-05,97388.05237696727
2015-05-06,96336.99657202735
2015-05-07,99673.73729512321
2015-05-08,100373.95922163194
2015-05-11,97321.10414537274
2015-05-12,99153.47504367366
2015-05-13,99233.58233130419
2015-05-14,98414.38726927395
2015-05-15,99643.17986231932
2015-05-18,101108.0408867338
2015-05-19,102763.8380204863
2015-05-20,102829.06027995405
2015-05-21,102788.92504624778
2015-05-22,102713.65061058966
2015-05-25,103100.01485238908
2015-05-26,103181.60696291806
2015-05-27,105702.80745716211
2015-05-28,106627.08536024381
2015-05-29,106358.21826362646
2015-06-01,105933.85726898102
2015-06-02,105592.58332124633
2015-06-03,105966.17435145788
2015-06-04,105391.47577759292
2015-06-05,102802.40467139818
2015-06-08,102599.23696251011
2015-06-09,105165.07517466269
2015-06-10,101838.7485261945
2015-06-11,103313.25961074141
2015-06-12,102908.86667988585
2015-06-15,103833.58083844176
2015-06-16,103454.34677257547
2015-06-17,104103.76101028721
2015-06-18,105216.67645083251
2015-06-19,106916.70210207626
2015-06-22,107422.0927257289
2015-06-23,106979.44124534083
2015-06-24,108453.13385523963
2015-06-25,108234.17289940048
2015-06-26,107602.80892984725
2015-06-29,108672.06092144006
2015-06-30,109201.59330453524
2015-07-01,108570.58856515255
2015-07-02,110217.33355657225
2015-07-03,111166.37222165949
2015-07-06,111510.0809376664
2015-07-07,110770.92662636902
2015-07-08,111309.81242630484
2015-07-09,112933.11702740437
2015-07-10,113519.32177656132
2015-07-13,112482.1982041174
2015-07-14,113987.15331729047
2015-07-15,115401.91517760561
2015-07-16,115176.45971937903
2015-07-17,115520.28838603343
2015-07-20,113609.49921575171
2015-07-21,118411.81749711797
2015-07-22,117836.88789292247
2015-07-23,115554.09010041648
2015-07-24,114302.43429614618
2015-07-27,115621.90044008532
2015-07-28,118075.00073369403
2015-07-29,118566.98118530976
2015-07-30,118684.4288588506
2015-07-31,116949.52246382873
2015-08-03,115993.95177236016
2015-08-04,114996.70981370169
2015-08-05,115391.53843908886
2015-08-06,116309.85277266982
2015-08-07,115290.70736468681
2015-08-10,115295.98137054512
2015-08-11,112741.91531451384
2015-08-12,113489.70394198458
2015-08-13,116043.76999801586
2015-08-14,114958.93899879996
2015-08-17,114416.55133035748
2015-08-18,113942.56570887165
2015-08-19,113189.53786449943
2015-08-20,111778.22642083775
2015-08-21,107328.35703469053
2015-08-24,107265.17333126125
2015-08-25,105185.40421513162
2015-08-26,106849.91862591606
2015-08-27,109637.61321534558
2015-08-28,107396.16699352657
2015-08-31,106866.25160777278
2015-09-01,107891.7136251249
2015-09-02,108437.80386805246
2015-09-03,106908.30568060666
2015-09-04,105395.1867274962
2015-09-07,105400.16953054252
2015-09-08,108376.5949290511
2015-09-09,107555.35603008687
2015-09-10,108580.66477406217
2015-09-11,109476.61467321949
2015-09-14,109421.85040796266
2015-09-15,109665.76715459344
2015-09-16,109944.47038604299
2015-09-18,109964.39383685283
2015-09-21,110243.12035242874
2015-09-22,111119.12351664982
2015-09-23,113538.12692950839
2015-09-24,110053.99891655665
2015-09-28,111676.56102505072
2015-09-29,115668.40717519655
2015-09-30,116773.40972241126
2015-10-01,117639.43951916421
2015-10-05,114936.7267876834
2015-10-06,116952.48985221237
2015-10-07,113791.27160088997
2015-10-08,117334.19217917975
2015-10-09,112861.58515520173
2015-10-12,112422.88548302802
2015-10-13,113599.1825859011
2015-10-14,113693.53943131476
2015-10-15,115090.0348621082
2015-10-16,121216.9293569093
2015-10-19,120896.71769071404
2015-10-20,120907.76148456841
2015-10-21,122426.06363096021
2015-10-23,122665.60772174639
2015-10-26,122236.2578185203
2015-10-27,121898.0230623413
2015-10-28,121036.55541633746
2015-10-29,121898.3550630572
2015-10-30,123454.7097414651
2015-11-02,123659.88552672855
2015-11-03,123295.13526842845
2015-11-04,123084.24425925812
2015-11-05,123203.94770385342
2015-11-06,121368.82620405333
2015-11-09,120206.18852069142
2015-11-10,119915.54039475985
2015-11-13,122435.26084014066
2015-11-16,122417.94749025586
2015-11-17,121010.0542376691
2015-11-18,124028.6630404881
2015-11-19,125634.16464029053
2015-11-20,126549.69691832502
2015-11-23,128400.68680712357
2015-11-24,128352.45492316417
2015-11-26,130216.29207942648
2015-11-27,130017.22796879566
2015-11-30,129855.88805305393
2015-12-01,129232.41021545362
2015-12-02,129106.48846138708
2015-12-03,126966.2067762401
2015-12-04,125203.98367113435
2015-12-07,123706.63991313003
2015-12-08,122760.32220520245
2015-12-09,127377.73643088224
2015-12-10,127726.23010172529
2015-12-11,128014.40719873155
2015-12-14,130802.29075874007
2015-12-15,131170.8836868872
2015-12-16,135332.56746526572
2015-12-17,132404.91394984548
2015-12-18,132701.07920980675
2015-12-21,130331.96706861924
2015-12-22,132388.38498595037
2015-12-23,131959.7632408823
2015-12-24,133258.86593626114
2015-12-28,133918.2875634798
2015-12-29,132480.7049388106
2015-12-30,133812.76715243
2015-12-31,133911.68270913686
2016-01-01,131267.34509343797
2016-01-04,132566.44778881676
2016-01-05,131986.3444915106
2016-01-06,130218.44655308202
2016-01-07,129321.28661384592
2016-01-08,128396.94077760875
2016-01-11,127697.60444317966
2016-01-12,131765.8818485481
2016-01-13,137798.36714200155
2016-01-14,136800.74293879006
2016-01-15,129605.7294368693
2016-01-18,130862.81212670253
2016-01-19,128651.86695021264
2016-01-20,129245.66274858854
2016-01-21,130167.95961981956
2016-01-22,132013.51012328477
2016-01-25,131408.6431091673
2016-01-27,133716.36622040678
2016-01-28,136149.00461211844
2016-01-29,135478.36892810676
2016-02-01,131645.33100364142
2016-02-02,129048.33088619918
2016-02-03,127950.34180319466
2016-02-04,127667.6315187651
2016-02-05,126372.42865531634
2016-02-08,121634.0063893307
2016-02-09,120385.14882584788
2016-02-10,117138.09146863555
2016-02-11,117789.6792621014
2016-02-12,118560.72146177047
2016-02-15,117192.39045142436
2016-02-16,119223.16569586191
2016-02-17,121997.80847908273
2016-02-18,122415.9240702854
2016-02-19,122347.8793601409
2016-02-22,120033.92596563185
2016-02-23,120413.11179923688
2016-02-24,119332.4086799165
2016-02-25,120122.37695022137
2016-02-26,116147.40448500896
2016-02-29,120583.06577805344
2016-03-01,123856.26917052561
2016-03-02,125281.24586825715
2016-03-03,125425.89401520204
2016-03-04,124639.32841484614
2016-03-08,126423.35341807755
2016-03-09,122788.53292500161
2016-03-10,123684.25964665817
2016-03-11,124324.32198874933
2016-03-14,124156.04632419588
2016-03-15,126988.60997635727
2016-03-16,127745.84046234931
2016-03-17,129000.20388277683
2016-03-18,131157.74111824032
2016-03-21,132491.69693887432
2016-03-22,130133.56949967379
2016-03-23,125271.61108686373
2016-03-28,124476.25775868974
2016-03-29,125773.5681905881
2016-03-30,125323.43487262617
2016-03-31,126197.23474626003
2016-04-01,126435.52061788368
2016-04-04,119471.65451078003
2016-04-05,120262.74765521301
2016-04-06,120669.945749232
2016-04-07,120565.22729358595
2016-04-08,122445.2294709768
2016-04-11,122269.37924328573
2016-04-12,124446.51806968858
2016-04-13,124294.76268272098
2016-04-18,124786.43507092292
2016-04-20,123050.48827534947
2016-04-21,121540.32286074194
2016-04-22,122001.94016176776
2016-04-25,123637.51211371043
2016-04-26,124786.37270318232
2016-04-27,121667.0853577094
2016-04-28,121561.40174663904
2016-04-29,120852.01168203985
2016-05-02,117840.68734654304
2016-05-03,118118.41717468468
2016-05-04,117774.24091652171
2016-05-05,117013.43641233687
2016-05-06,118722.2228279531
2016-05-09,118655.80990174117
2016-05-10,117792.34972551026
2016-05-11,119893.62489246517
2016-05-12,118124.44786037928
2016-05-13,117858.78777957923
2016-05-16,119017.61004403998
2016-05-17,119280.99496857412
2016-05-18,116902.87362926773
2016-05-19,117067.05110078334
2016-05-20,116641.22002065908
2016-05-23,116969.54784932669
2016-05-24,120391.58389165602
2016-05-25,121412.54813813795
2016-05-26,122419.4914984328
2016-05-27,124391.94207214928
2016-05-30,124618.62853940476
2016-05-31,122275.49133401296
2016-06-01,122254.67739163226
2016-06-02,121921.72305179188
2016-06-03,121854.08461287967
2016-06-06,122124.6108732281
2016-06-07,120969.64328585168
2016-06-08,120636.67519836112
2016-06-09,120839.57676744754
2016-06-10,119960.34579983982
2016-06-13,119851.10697146658
2016-06-14,121318.97574953169
2016-06-15,119371.4812235005
2016-06-16,119071.86131049108
2016-06-17,118897.09175503475
2016-06-20,118772.25012461416
2016-06-21,119265.99850134026
2016-06-22,120469.08674956163
2016-06-23,115493.30718069203
2016-06-24,116368.45245959838
2016-06-27,116593.49206439356
2016-06-28,117686.462944698
2016-06-29,118507.42869197902
2016-06-30,118408.89658216678
2016-07-01,122251.5885952906
2016-07-04,121501.04617818055
2016-07-05,123591.04377915949
2016-07-07,122127.23414379965
2016-07-08,126114.86383784459
2016-07-11,127499.89974959627
2016-07-12,128179.7178266982
2016-07-13,127690.48606360436
2016-07-14,128618.10600849663
2016-07-15,129012.23475754495
2016-07-18,130493.06153956264
2016-07-19,131159.7603915561
2016-07-20,129025.05777042393
2016-07-21,130114.83601474919
