Date,Portfolio_Value
2015-02-19,97755.14084482889
2015-02-20,97179.13771341943
2015-02-23,97192.80103188232
2015-02-24,95809.0916257932
2015-02-25,95452.58609187113
2015-02-26,96909.90724034238
2015-02-27,99534.93958481986
2015-03-02,103744.37211086952
2015-03-03,102696.88165807791
2015-03-04,102361.44729179009
2015-03-05,100591.70671505129
2015-03-09,100848.63918878594
2015-03-10,101222.29355669698
2015-03-11,101707.72114896301
2015-03-12,99301.87489401863
2015-03-13,99677.77609484628
2015-03-16,100293.93053731663
2015-03-17,100815.27694367187
2015-03-18,99430.09740881155
2015-03-19,95937.0896556509
2015-03-20,94572.32084141024
2015-03-23,93999.69714916637
2015-03-24,95506.58260857128
2015-03-25,92809.26277609241
2015-03-26,90839.60222601266
2015-03-27,90733.28446325524
2015-03-30,92439.9563907008
2015-03-31,94681.36105861235
2015-04-01,94866.47381251844
2015-04-06,94052.03284996966
2015-04-07,93370.50611948663
2015-04-08,95000.27153535663
2015-04-09,94318.73405252711
2015-04-10,93903.86551521554
2015-04-13,93340.87265253582
2015-04-15,92600.06823580465
2015-04-16,91888.9080383708
2015-04-17,90702.2205620872
2015-04-20,91146.79003923276
2015-04-21,92064.61983208165
2015-04-22,92100.97108387756
2015-04-23,91037.73697198789
2015-04-24,89280.49057253535
2015-04-27,96531.01140827787
2015-04-28,96233.12993264286
2015-04-29,95320.08275015838
2015-04-30,96010.65766892851
2015-05-04,97415.07740112102
2015-05-05,95733.38188715551
2015-05-06,93829.75364020496
2015-05-07,94503.04905003354
2015-05-08,95301.80154463649
2015-05-11,93535.88866631816
2015-05-12,96403.86274574828
2015-05-13,95784.93506311755
2015-05-14,94994.20934328389
2015-05-15,96509.85078687491
2015-05-18,97928.64853183941
2015-05-19,99136.81084902502
2015-05-20,99192.50709045453
2015-05-21,99095.66339182798
2015-05-22,98070.56914471487
2015-05-25,96985.14764284118
2015-05-26,97061.90052107765
2015-05-27,99433.56848370159
2015-05-28,100303.02741658085
2015-05-29,100050.10684136009
2015-06-01,98137.34450531544
2015-06-02,97886.16328515824
2015-06-03,99671.66935923455
2015-06-04,99357.4305199725
2015-06-05,98784.48879449589
2015-06-08,98391.83450416892
2015-06-09,100090.89444203427
2015-06-10,98665.98336691607
2015-06-11,97549.71649969791
2015-06-12,99322.16895908413
2015-06-15,99638.34321923512
2015-06-16,99407.44111056124
2015-06-17,100067.18663715389
2015-06-18,100463.04572062088
2015-06-19,103339.61212656883
2015-06-22,103828.09400071797
2015-06-23,105235.69379096356
2015-06-24,107167.74927126328
2015-06-25,106112.43671925859
2015-06-26,106116.5131029169
2015-06-29,104399.69961298718
2015-06-30,106124.66587023351
2015-07-01,105496.49280573976
2015-07-02,106566.73093598265
2015-07-03,106769.99893265752
2015-07-06,106078.70841653802
2015-07-07,105375.55643239795
2015-07-08,102427.57823364354
2015-07-09,100472.4287639276
2015-07-10,101901.7367352081
2015-07-13,101493.6618828915
2015-07-14,102826.00696618839
2015-07-15,104102.24124935646
2015-07-16,103898.86144870786
2015-07-17,104209.02384722103
2015-07-20,115803.42332696734
2015-07-21,114295.6574804973
2015-07-22,113740.71323164203
2015-07-23,109269.61115570403
2015-07-24,108916.30336887708
2015-07-27,109134.3349222442
2015-07-28,109339.3732799673
2015-07-29,109794.95518902004
2015-07-30,109981.57530005492
2015-07-31,110047.45480948324
